,name,url,hq,headcount
218,Harris Beach ,http://www.harrisbeach.com/,"Rochester, N.Y.",180
219,"Ruden, McClosky, Smith, Schuster & Russell",,"Ft. Lauderdale,Fla.",180
220,Wachtell Lipton Rosen & Katz,http://www.wlrk.com/,New York,180
221,Quinn Emanuel Urquhart Oliver & Hedges,http://www.quinnemanuel.com/,Los Angeles,179
222,Smith Gambrell & Russell,http://www.sgrlaw.com/,Atlanta,177
223,Bullivant Houser Bailey,http://www.bullivant.com/,"Portland, Ore.",175
224,Gray Harris & Robinson,http://www.ghrlaw.com/,"Orlando, Fla.",175
225,Lane Powell Spears Lubersky,http://www.lanepowell.com/,Seattle,175
226,Leonard Street and Deinard,http://www.leonard.com/,Minneapolis,175
227,Loeb & Loeb,http://www.loeb.com/,Los Angeles,175
228,Greenebaum Doll & McDonald,http://www.gdm.com/,"Louisville, Ky.",172
229,Hughes & Luce,,Dallas,172
230,Miles & Stockbridge,http://www.milesstockbridge.com/,Baltimore,172
231,Cummings & Lockwood,http://www.cl-law.com/,"Stamford, Conn.",171
232,Godfrey & Kahn,http://www.gklaw.com/,Milwaukee,171
233,Phillips Lytle Hitchcock Blaine amp Huber,http://www.phillipslytle.com/,"Buffalo, N.Y.",171
234,Lewis Rice & Fingersh,http://www.lewisrice.com/,St. Louis,170
235,Nutter McClennen & Fish,http://www.nutter.com/,Boston,170
236,Burr & Forman,http://www.burr.com/,"Birmingham, Ala.",169
237,Kennedy Covington Lobdell & Hickman,,"Charlotte, N.C.",169
238,"Curtis, Mallet-Prevost, Colt & Mosle",,New York,168
239,Fredrikson & Byron,http://www.fredlaw.com/,Minneapolis,168
240,Briggs and Morgan ,http://www.briggs.com/,Minneapolis,167
241,Knobbe Martens Olson & Bear,http://www.kmob.com/,"Irvine, Calif.",163
242,Ogletree Deakins Nash Smoak & Stewart,http://www.ogletreedeakins.com/,Atlanta,162
243,Stevens & Lee,http://www.stevenslee.com/,"Reading, Pa.",162
244,Fitzpatrick Cella Harper & Scinto,http://www.fitzpatrickcella.com/,New York,161
245,Gibbons Del Deo Dolan Griffinger & Vecchione,http://www.gibbonslaw.com/,"Newark, N.J.",160
246,Choate Hall & Stewart,http://www.choate.com/,Boston,159
247,Clausen Miller,http://www.clausen.com/,Chicago,159
248,Fisher & Phillips ,http://www.laborlawyers.com/,Atlanta,159
249,Plunkett & Cooney ,http://www.plunkettcooney.com/,"Bloomfield Hills, Mich.",155
